method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
SaTE,374.91169,123.7731388674928,0.3301394492860247,251.13855113250722,0.6698605507139753,321,23.67391304347826,970,mixed-s1-t180,mixed,1,180,2025-07-16T19:00:00,3.4548699309816584,10203,401
+Grid,358.26842000000005,94.66953277766189,0.26424191330528624,263.59888722233813,0.7357580866947137,255,17.26530612244898,972,mixed-s2-t000,mixed,2,0,2025-07-16T16:00:00,3.0689278088975698,9871,21
DRL,358.26842000000005,33.11908661899301,0.09244210421614332,325.14933338100707,0.9075578957838568,88,4.661764705882353,952,mixed-s2-t000,mixed,2,0,2025-07-16T16:00:00,3.4430884319590405,9871,346
DuJo,358.26842000000005,135.3566841026106,0.3778080247837936,222.91173589738946,0.6221919752162064,339,16.73305954825462,962,mixed-s2-t000,mixed,2,0,2025-07-16T16:00:00,217.66603960003704,9871,345
MRate,358.26842000000005,108.71173544312359,0.3034365558737317,249.55668455687646,0.6965634441262684,278,7.614130434782608,966,mixed-s2-t000,mixed,2,0,2025-07-16T16:00:00,3.1448866319842637,9871,396
SaTE,358.26842000000005,108.71173544312359,0.3034365558737317,249.55668455687646,0.6965634441262684,278,7.614130434782608,966,mixed-s2-t000,mixed,2,0,2025-07-16T16:00:00,3.0905291880480945,9871,396
+Grid,388.59639000000004,80.57679956056364,0.20735344340322778,308.0195904394364,0.7926465565967722,217,20.779187817258883,971,mixed-s2-t030,mixed,2,30,2025-07-16T16:30:00,3.270688017946668,10081,21
DRL,388.59639000000004,45.07785796203662,0.11600174145219572,343.51853203796344,0.8839982585478043,122,33.569395017793596,966,mixed-s2-t030,mixed,2,30,2025-07-16T16:30:00,3.210448710946366,10081,362
DuJo,388.59639000000004,142.55346125550096,0.36684195974002987,246.04292874449908,0.6331580402599701,354,6.4141176470588235,961,mixed-s2-t030,mixed,2,30,2025-07-16T16:30:00,217.1156996539794,10081,337
MRate,388.59639000000004,118.4066959096173,0.304703540631495,270.1896940903828,0.695296459368505,295,10.954468802698145,967,mixed-s2-t030,mixed,2,30,2025-07-16T16:30:00,3.1527403260115534,10081,381
SaTE,388.59639000000004,118.4066959096173,0.304703540631495,270.1896940903828,0.695296459368505,295,10.954468802698145,967,mixed-s2-t030,mixed,2,30,2025-07-16T16:30:00,3.256777941947803,10081,381
+Grid,351.86768000000006,84.09098242596266,0.23898467294854317,267.77669757403737,0.7610153270514567,230,22.138004246284503,970,mixed-s2-t060,mixed,2,60,2025-07-16T17:00:00,3.492558616097085,9992,30
DRL,351.86768000000006,40.07452388548887,0.11389089184175388,311.7931561145112,0.8861091081582462,111,14.660714285714286,958,mixed-s2-t060,mixed,2,60,2025-07-16T17:00:00,3.548919297987595,9992,342
DuJo,351.86768000000006,147.45070736916335,0.419051580324636,204.4169726308367,0.5809484196753639,377,12.104089219330856,960,mixed-s2-t060,mixed,2,60,2025-07-16T17:00:00,202.35970891895704,9992,322
MRate,351.86768000000006,119.8086191037881,0.34049338974181453,232.05906089621197,0.6595066102581855,304,22.76241610738255,972,mixed-s2-t060,mixed,2,60,2025-07-16T17:00:00,3.414984183968045,9992,376
SaTE,351.86768000000006,119.8086191037881,0.34049338974181453,232.05906089621197,0.6595066102581855,304,22.76241610738255,972,mixed-s2-t060,mixed,2,60,2025-07-16T17:00:00,3.531105471076444,9992,376
+Grid,347.36943,83.73062923405976,0.24104202040478853,263.63880076594023,0.7589579795952114,226,14.226628895184136,968,mixed-s2-t090,mixed,2,90,2025-07-16T17:30:00,3.7006363209802657,9926,18
DRL,347.36943,39.079692401137805,0.1125018180245101,308.2897375988622,0.8874981819754898,109,23.05058365758755,957,mixed-s2-t090,mixed,2,90,2025-07-16T17:30:00,3.8711611959151924,9926,347
DuJo,347.36943,151.3354858543418,0.4356614969093331,196.0339441456582,0.5643385030906669,387,14.143872113676732,963,mixed-s2-t090,mixed,2,90,2025-07-16T17:30:00,216.44234924006741,9926,340
MRate,347.36943,125.5339494600285,0.36138456242401207,221.8354805399715,0.6386154375759879,320,6.6269592476489025,967,mixed-s2-t090,mixed,2,90,2025-07-16T17:30:00,3.762829062063247,9926,389
SaTE,347.36943,125.5339494600285,0.36138456242401207,221.8354805399715,0.6386154375759879,320,6.6269592476489025,967,mixed-s2-t090,mixed,2,90,2025-07-16T17:30:00,3.7355128640774637,9926,389
